Name,\\pi3\LR09144901L%P2O5
Data Type,Float 32
Number of Values,15790
Time,Value,Value Attributes
17-Jun-2023 23:49:28.26888,15.75
17-Jun-2023 23:39:28.26888,15.75
17-Jun-2023 23:29:28.26888,15.75
17-Jun-2023 23:19:28.26888,15.75
17-Jun-2023 23:09:28.26888,15.75
17-Jun-2023 22:59:28.26888,15.75
17-Jun-2023 22:49:28.26888,15.75
17-Jun-2023 22:39:28.26888,15.75
17-Jun-2023 22:29:28.26888,15.75
17-Jun-2023 22:19:28.26888,15.75
17-Jun-2023 22:11:14.7943,15.83
17-Jun-2023 22:01:14.7943,15.83
17-Jun-2023 21:51:14.7943,15.83
17-Jun-2023 21:41:14.7943,15.83
17-Jun-2023 21:31:14.7943,15.83
17-Jun-2023 21:21:14.7943,15.83
17-Jun-2023 21:11:14.7943,15.83
17-Jun-2023 21:01:14.7943,15.83
17-Jun-2023 20:51:14.7943,15.83
17-Jun-2023 20:41:14.7943,15.83
17-Jun-2023 20:31:14.7943,15.83
17-Jun-2023 20:26:26.67972,15.60
17-Jun-2023 20:16:26.67972,15.60
17-Jun-2023 20:06:26.67972,15.60
17-Jun-2023 19:56:26.67972,15.60
17-Jun-2023 19:46:26.67972,15.60
17-Jun-2023 19:36:26.67972,15.60
17-Jun-2023 19:26:26.67972,15.60
17-Jun-2023 19:16:26.67972,15.60
17-Jun-2023 19:06:26.67972,15.60
17-Jun-2023 18:56:26.67972,15.60
17-Jun-2023 18:46:26.67972,15.60
17-Jun-2023 18:36:26.67972,15.60
17-Jun-2023 18:26:26.67972,15.60
17-Jun-2023 18:16:26.67972,15.60
17-Jun-2023 18:06:26.67972,15.60
17-Jun-2023 17:56:26.67972,15.60
17-Jun-2023 17:55:25.43694,15.65
17-Jun-2023 17:45:25.43694,15.65
17-Jun-2023 17:35:25.43694,15.65
17-Jun-2023 17:25:25.43694,15.65
17-Jun-2023 17:15:25.43694,15.65
17-Jun-2023 17:05:25.43694,15.65
17-Jun-2023 16:55:25.43694,15.65
17-Jun-2023 16:45:25.43694,15.65
17-Jun-2023 16:35:25.43694,15.65
17-Jun-2023 16:25:25.43694,15.65
17-Jun-2023 16:15:25.43694,15.65
17-Jun-2023 16:05:25.43694,15.65
17-Jun-2023 15:55:25.43694,15.65
17-Jun-2023 15:49:44.66493,15.55
17-Jun-2023 15:39:44.66493,15.55
17-Jun-2023 15:29:44.66493,15.55
17-Jun-2023 15:19:44.66493,15.55
17-Jun-2023 15:09:44.66493,15.55
17-Jun-2023 14:59:44.66493,15.55
17-Jun-2023 14:49:44.66493,15.55
17-Jun-2023 14:39:44.66493,15.55
17-Jun-2023 14:29:44.66493,15.55
17-Jun-2023 14:19:44.66493,15.55
17-Jun-2023 14:09:44.66493,15.55
17-Jun-2023 13:59:44.66493,15.55
17-Jun-2023 13:49:44.66493,15.55
17-Jun-2023 13:39:44.66493,15.55
17-Jun-2023 13:29:44.66493,15.55
17-Jun-2023 13:19:44.66493,15.55
17-Jun-2023 13:09:44.66493,15.55
17-Jun-2023 12:59:44.66493,15.55
17-Jun-2023 12:49:44.66493,15.55
17-Jun-2023 12:39:44.66493,15.55
17-Jun-2023 12:29:44.66493,15.55
17-Jun-2023 12:22:09.84622,15.30
17-Jun-2023 12:12:09.84622,15.30
17-Jun-2023 12:02:09.84622,15.30
17-Jun-2023 11:52:09.84622,15.30
17-Jun-2023 11:42:09.84622,15.30
17-Jun-2023 11:32:09.84622,15.30
17-Jun-2023 11:22:09.84622,15.30
17-Jun-2023 11:12:09.84622,15.30
17-Jun-2023 11:02:09.84622,15.30
17-Jun-2023 10:52:09.84622,15.30
17-Jun-2023 10:42:09.84622,15.30
17-Jun-2023 10:32:09.84622,15.30
17-Jun-2023 10:22:09.84622,15.30
17-Jun-2023 10:12:09.84622,15.30
17-Jun-2023 10:02:09.84622,15.30
