ts,P2O5,SO4,density,Cl,x,y,SO4_m,SO4_s,average,R(K),R(SO4)
10/05/2024 03:34,16.25,3.8,1.304,37771,51.3,26.3,0.331,0.349,0.399,51.83193432,26.25889047
09/05/2024 20:04,16.35,3.24,1.301,37771,52.2,25.7,0.331,0.349,0.399,53.58079351,25.70013336
09/05/2024 16:14,16.2,4.2,1.304,37771,50.8,22.8,0.331,0.349,0.399,51.88411137,22.85135296
09/05/2024 12:24,16.1,4.25,1.069,37771,54.1,27.6,0.37,0.36,0.399,52.63112604,27.57128592
08/05/2024 11:54,15.85,3.8,1.287,36963,57,26.1,0.504,0.54,0.34975,57.21348815,26.12914018
08/05/2024 04:34,16.2,4.25,1.285,32717,58.1,28,0.504,0.54,0.3985,57.88442539,28.38981882
08/05/2024 00:34,16.1,4.35,1.285,38996,58.1,28,0.504,0.54,0.3985,57.68826571,28.00645982
07/05/2024 20:34,16,4.25,1.287,36560,57.2,28.6,0.504,0.54,0.3985,56.75809961,28.62982842
07/05/2024 15:34,15.6,4.45,1.293,36560,55.3,28.1,0.504,0.54,0.3985,55.32614294,28.0815225
07/05/2024 11:34,15.5,4.35,1.293,36560,55,29.6,0.408,0.4,0.3985,55.62102778,29.54046094
07/05/2024 09:44,15.9,4.25,1.293,36560,55.9,29.3,0.408,0.4,0.3985,55.8663512,29.33466306
06/05/2024 19:54,15.6,4.66,1.286,37869,56.1,30.6,0.408,0.4,0.498,59.22452671,28.98794371
06/05/2024 12:14,16.1,4.45,1.257,38713,56.1,30.6,0.408,0.4,0.498,57.35711831,30.64483263
06/05/2024 09:44,15.85,4.25,1.294,38713,54.6,29,0.379,0.356,0.498,54.64249147,29.0195178
06/05/2024 03:44,15.9,4.1,1.291,38586,55.9,28.2,0.379,0.356,0.404,55.87744844,28.20752512
05/05/2024 16:04,15.8,5.06,1.284,37841,59,31.6,0.379,0.356,0.404,59.18342906,31.64933135
05/05/2024 08:44,15.2,4.45,1.28,38983,60,32.1,0.383,0.393,0.404,60.1692926,32.08881902
05/05/2024 03:34,15.3,4.25,1.286,38462,58,30.2,0.383,0.393,0.3685,58.39779282,30.21854526
05/05/2024 00:04,15.8,4.15,1.284,38929,58.4,28.9,0.383,0.393,0.3685,57.66346413,28.85488884
04/05/2024 16:14,16.1,4.1,1.287,36740,56.8,28,0.383,0.393,0.3685,57.64541415,27.9806277
04/05/2024 12:04,15.8,4.15,1.286,36694,56.8,27.4,0.383,0.393,0.3685,57.46705245,27.36159413
04/05/2024 08:24,16.15,4.25,1.286,36413,57.8,28,0.383,0.393,0.3685,57.58523032,27.9806277
04/05/2024 03:34,16,4.35,1.284,36925,58.5,29,0.383,0.393,,57.79277511,29.01470206
03/05/2024 20:04,16,4.25,1.285,36701,58.5,28.7,0.383,0.393,,58.43627063,28.73210349
03/05/2024 11:44,16,4.15,1.282,37471,58.5,27.4,0.488,0.393,,58.55708503,27.36159413
