Name,\\pi3\MKP_LAB449SO4%,
Data Type,Float 32,
Number of Values,15311,
Time,Value,Value Attributes
13/01/2023 17:00:09.0,4.45,
13/01/2023 16:50:09.0,4.45,
13/01/2023 16:40:09.0,4.45,
13/01/2023 16:30:09.0,4.45,
13/01/2023 16:20:09.0,4.45,
13/01/2023 16:10:09.0,4.45,
13/01/2023 16:00:09.0,4.45,
13/01/2023 15:50:09.0,4.45,
13/01/2023 15:40:09.0,4.45,
13/01/2023 15:30:09.0,4.45,
13/01/2023 15:20:09.0,4.45,
13/01/2023 15:10:09.0,4.45,
13/01/2023 15:00:09.0,4.45,
13/01/2023 14:50:09.0,4.45,
13/01/2023 14:40:09.0,4.45,
13/01/2023 14:30:09.0,4.45,
13/01/2023 14:20:09.0,4.45,
13/01/2023 14:10:09.0,4.45,
13/01/2023 14:00:09.0,4.45,
13/01/2023 13:50:09.0,4.45,
13/01/2023 13:40:09.0,4.45,
13/01/2023 13:30:09.0,4.45,
13/01/2023 13:20:09.0,4.45,
13/01/2023 13:10:09.0,4.45,
13/01/2023 13:00:09.0,4.45,
13/01/2023 12:50:09.0,4.45,
13/01/2023 12:40:09.0,4.45,
13/01/2023 12:30:09.0,4.45,
13/01/2023 12:20:09.0,4.45,
13/01/2023 12:10:09.0,4.45,
13/01/2023 12:00:09.0,4.45,
13/01/2023 11:50:09.0,4.45,
13/01/2023 11:40:09.0,4.45,
13/01/2023 11:30:09.0,4.45,
13/01/2023 11:20:09.0,4.45,
13/01/2023 11:10:09.0,4.45,
13/01/2023 11:00:09.0,4.45,
13/01/2023 10:50:09.0,4.45,
13/01/2023 10:40:09.0,4.45,
13/01/2023 10:30:09.0,4.45,
13/01/2023 10:20:09.0,4.45,
13/01/2023 10:10:09.0,4.45,
13/01/2023 10:00:09.0,4.45,
13/01/2023 09:50:09.0,4.45,
13/01/2023 09:40:09.0,4.45,
13/01/2023 09:30:09.0,4.45,
13/01/2023 09:20:09.0,4.45,
13/01/2023 09:10:09.0,4.45,
13/01/2023 09:00:09.0,4.45,
13/01/2023 08:58:45.6,4.45,
13/01/2023 08:48:45.6,4.45,
13/01/2023 08:38:45.6,4.45,
13/01/2023 08:28:45.6,4.45,
13/01/2023 08:18:45.6,4.45,
13/01/2023 08:08:45.6,4.45,
13/01/2023 07:58:45.6,4.45,
13/01/2023 07:48:45.6,4.45,
13/01/2023 07:38:45.6,4.45,
13/01/2023 07:28:45.6,4.45,
13/01/2023 07:18:45.6,4.45,
13/01/2023 07:08:45.6,4.45,
13/01/2023 06:58:45.6,4.45,
13/01/2023 06:48:45.6,4.45,
13/01/2023 06:38:45.6,4.45,
13/01/2023 06:28:45.6,4.45,
13/01/2023 06:18:45.6,4.45,
13/01/2023 06:08:45.6,4.45,
13/01/2023 05:58:45.6,4.45,
13/01/2023 05:48:45.6,4.45,
13/01/2023 05:38:45.6,4.45,
13/01/2023 05:28:45.6,4.45,
13/01/2023 05:18:45.6,4.45,
13/01/2023 05:08:45.6,4.45,
13/01/2023 04:58:45.6,4.45,
13/01/2023 04:48:45.6,4.45,
13/01/2023 04:38:45.6,4.45,
13/01/2023 04:28:45.6,4.45,
13/01/2023 04:18:45.6,4.45,
13/01/2023 04:08:45.6,4.45,
13/01/2023 03:58:45.6,4.45,
13/01/2023 03:48:45.6,4.45,
13/01/2023 03:45:48.9,4.55,
13/01/2023 03:35:48.9,4.55,
13/01/2023 03:25:48.9,4.55,
13/01/2023 03:15:48.9,4.55,
13/01/2023 03:05:48.9,4.55,
13/01/2023 02:55:48.9,4.55,
13/01/2023 02:45:48.9,4.55,
13/01/2023 02:35:48.9,4.55,
13/01/2023 02:25:48.9,4.55,
13/01/2023 02:15:48.9,4.55,
13/01/2023 02:05:48.9,4.55,
13/01/2023 01:55:48.9,4.55,
13/01/2023 01:45:48.9,4.55,
13/01/2023 01:35:48.9,4.55,
13/01/2023 01:25:48.9,4.55,
13/01/2023 01:15:48.9,4.55,
13/01/2023 01:05:48.9,4.55,
13/01/2023 00:55:48.9,4.55,
13/01/2023 00:45:48.9,4.55,
13/01/2023 00:35:48.9,4.55,
13/01/2023 00:25:48.9,4.55,
13/01/2023 00:15:48.9,4.55,
13/01/2023 00:05:48.9,4.55,
12/01/2023 23:55:48.9,4.55,
12/01/2023 23:53:04.6,4.45,
12/01/2023 23:43:04.6,4.45,
12/01/2023 23:33:04.6,4.45,
12/01/2023 23:23:04.6,4.45,
12/01/2023 23:13:04.6,4.45,
12/01/2023 23:03:04.6,4.45,
12/01/2023 22:53:04.6,4.45,
12/01/2023 22:43:04.6,4.45,
12/01/2023 22:33:04.6,4.45,
12/01/2023 22:23:04.6,4.45,
12/01/2023 22:13:04.6,4.45,
12/01/2023 22:03:04.6,4.45,
12/01/2023 21:53:04.6,4.45,
12/01/2023 21:43:04.6,4.45,
12/01/2023 21:33:04.6,4.45,
12/01/2023 21:23:04.6,4.45,
12/01/2023 21:13:04.6,4.45,
12/01/2023 21:03:04.6,4.45,
12/01/2023 20:53:04.6,4.45,
12/01/2023 20:43:04.6,4.45,
12/01/2023 20:33:04.6,4.45,
12/01/2023 20:23:04.6,4.45,
12/01/2023 20:13:04.6,4.45,
12/01/2023 20:04:50.9,4.45,
12/01/2023 19:54:50.9,4.45,
12/01/2023 19:44:50.9,4.45,
12/01/2023 19:34:50.9,4.45,
12/01/2023 19:24:50.9,4.45,
12/01/2023 19:14:50.9,4.45,
12/01/2023 19:04:50.9,4.45,
12/01/2023 18:54:50.9,4.45,
12/01/2023 18:44:50.9,4.45,
12/01/2023 18:34:50.9,4.45,
12/01/2023 18:24:50.9,4.45,
12/01/2023 18:14:50.9,4.45,
12/01/2023 18:04:50.9,4.45,
12/01/2023 17:54:50.9,4.45,
12/01/2023 17:44:50.9,4.45,
12/01/2023 17:34:50.9,4.45,
12/01/2023 17:24:50.9,4.45,
12/01/2023 17:14:50.9,4.45,
12/01/2023 17:04:50.9,4.45,
12/01/2023 16:54:50.9,4.45,
12/01/2023 16:44:50.9,4.45,
12/01/2023 16:34:50.9,4.45,
12/01/2023 16:24:50.9,4.45,
12/01/2023 16:14:50.9,4.45,
12/01/2023 16:04:50.9,4.45,
12/01/2023 15:54:50.9,4.45,
12/01/2023 15:44:50.9,4.45,
12/01/2023 15:34:50.9,4.45,
12/01/2023 15:24:50.9,4.45,
12/01/2023 15:14:50.9,4.45,
12/01/2023 15:04:50.9,4.45,
12/01/2023 14:54:50.9,4.45,
12/01/2023 14:44:50.9,4.45,
12/01/2023 14:34:50.9,4.45,
12/01/2023 14:24:50.9,4.45,
12/01/2023 14:14:50.9,4.45,
12/01/2023 14:04:50.9,4.45,
12/01/2023 13:54:50.9,4.45,
12/01/2023 13:44:50.9,4.45,
12/01/2023 13:34:50.9,4.45,
12/01/2023 13:24:50.9,4.45,
12/01/2023 13:14:50.9,4.45,
12/01/2023 13:04:50.9,4.45,
12/01/2023 12:54:50.9,4.45,
12/01/2023 12:44:50.9,4.45,
12/01/2023 12:34:50.9,4.45,
12/01/2023 12:24:50.9,4.45,
12/01/2023 12:14:50.9,4.45,
12/01/2023 12:11:57.5,4.25,
12/01/2023 12:01:57.5,4.25,
12/01/2023 11:51:57.5,4.25,
12/01/2023 11:41:57.5,4.25,
12/01/2023 11:31:57.5,4.25,
12/01/2023 11:21:57.5,4.25,
12/01/2023 11:11:57.5,4.25,
12/01/2023 11:01:57.5,4.25,
12/01/2023 10:51:57.5,4.25,
12/01/2023 10:41:57.5,4.25,
12/01/2023 10:31:57.5,4.25,
12/01/2023 10:21:57.5,4.25,
12/01/2023 10:11:57.5,4.25,
12/01/2023 10:01:57.5,4.25,
12/01/2023 09:51:57.5,4.25,
12/01/2023 09:41:57.5,4.25,
12/01/2023 09:31:57.5,4.25,
12/01/2023 09:21:57.5,4.25,
12/01/2023 09:11:57.5,4.25,
12/01/2023 09:01:57.5,4.25,
12/01/2023 08:51:57.5,4.25,
12/01/2023 08:41:57.5,4.25,
12/01/2023 08:31:57.5,4.25,
12/01/2023 08:21:57.5,4.25,
12/01/2023 08:11:57.5,4.25,
12/01/2023 08:01:57.5,4.25,
12/01/2023 07:51:57.5,4.25,
12/01/2023 07:41:57.5,4.25,
12/01/2023 07:31:57.5,4.25,
12/01/2023 07:21:57.5,4.25,
12/01/2023 07:11:57.5,4.25,
12/01/2023 07:01:57.5,4.25,
12/01/2023 06:51:57.5,4.25,
12/01/2023 06:41:57.5,4.25,
12/01/2023 06:31:57.5,4.25,
12/01/2023 06:21:57.5,4.25,
12/01/2023 06:11:57.5,4.25,
12/01/2023 06:01:57.5,4.25,
12/01/2023 05:51:57.5,4.25,
12/01/2023 05:41:57.5,4.25,
12/01/2023 05:31:57.5,4.25,
12/01/2023 05:21:57.5,4.25,
12/01/2023 05:11:57.5,4.25,
12/01/2023 05:01:57.5,4.25,
12/01/2023 04:51:57.5,4.25,
12/01/2023 04:41:57.5,4.25,
12/01/2023 04:31:57.5,4.25,
12/01/2023 04:21:57.5,4.25,
12/01/2023 04:11:57.5,4.25,
12/01/2023 04:01:57.5,4.25,
12/01/2023 03:51:57.5,4.25,
12/01/2023 03:41:57.5,4.25,
12/01/2023 03:31:57.5,4.25,
12/01/2023 03:21:57.5,4.25,
12/01/2023 03:11:57.5,4.25,
12/01/2023 03:01:57.5,4.25,
12/01/2023 02:51:57.5,4.25,
12/01/2023 02:41:57.5,4.25,
12/01/2023 02:31:57.5,4.25,
12/01/2023 02:21:57.5,4.25,
12/01/2023 02:11:57.5,4.25,
12/01/2023 02:01:57.5,4.25,
12/01/2023 01:51:57.5,4.25,
12/01/2023 01:41:57.5,4.25,
12/01/2023 01:31:57.5,4.25,
12/01/2023 01:21:57.5,4.25,
12/01/2023 01:11:57.5,4.25,
12/01/2023 01:01:57.5,4.25,
12/01/2023 00:51:57.5,4.25,
12/01/2023 00:41:57.5,4.25,
12/01/2023 00:31:57.5,4.25,
12/01/2023 00:21:57.5,4.25,
12/01/2023 00:11:57.5,4.25,
12/01/2023 00:01:57.5,4.25,
11/01/2023 23:51:57.5,4.25,
11/01/2023 23:41:57.5,4.25,
11/01/2023 23:31:57.5,4.25,
11/01/2023 23:21:57.5,4.25,
11/01/2023 23:11:57.5,4.25,
11/01/2023 23:01:57.5,4.25,
11/01/2023 22:51:57.5,4.25,
11/01/2023 22:41:57.5,4.25,
11/01/2023 22:31:57.5,4.25,
11/01/2023 22:21:57.5,4.25,
11/01/2023 22:11:57.5,4.25,
11/01/2023 22:01:57.5,4.25,
11/01/2023 21:51:57.5,4.25,
11/01/2023 21:41:57.5,4.25,
11/01/2023 21:31:57.5,4.25,
11/01/2023 21:21:57.5,4.25,
11/01/2023 21:11:57.5,4.25,
11/01/2023 21:01:57.5,4.25,
11/01/2023 20:51:57.5,4.25,
11/01/2023 20:41:57.5,4.25,
11/01/2023 20:31:57.5,4.25,
11/01/2023 20:21:57.5,4.25,
11/01/2023 20:11:57.5,4.25,
11/01/2023 20:01:57.5,4.25,
11/01/2023 19:51:57.5,4.25,
11/01/2023 19:41:57.5,4.25,
11/01/2023 19:31:57.5,4.25,
11/01/2023 19:21:57.5,4.25,
11/01/2023 19:11:57.5,4.25,
11/01/2023 19:01:57.5,4.25,
11/01/2023 18:51:57.5,4.25,
11/01/2023 18:41:57.5,4.25,
11/01/2023 18:31:57.5,4.25,
11/01/2023 18:21:57.5,4.25,
11/01/2023 18:11:57.5,4.25,
11/01/2023 18:01:57.5,4.25,
11/01/2023 17:51:57.5,4.25,
11/01/2023 17:41:57.5,4.25,
11/01/2023 17:31:57.5,4.25,
11/01/2023 17:21:57.5,4.25,
11/01/2023 17:11:57.5,4.25,
11/01/2023 17:01:57.5,4.25,
11/01/2023 16:51:57.5,4.25,
11/01/2023 16:41:57.5,4.25,
11/01/2023 16:31:57.5,4.25,
11/01/2023 16:21:57.5,4.25,
11/01/2023 16:11:57.5,4.25,
11/01/2023 16:01:57.5,4.25,
11/01/2023 15:51:57.5,4.25,
11/01/2023 15:41:57.5,4.25,
11/01/2023 15:31:57.5,4.25,
11/01/2023 15:21:57.5,4.25,
11/01/2023 15:11:57.5,4.25,
11/01/2023 15:01:57.5,4.25,
11/01/2023 14:51:57.5,4.25,
11/01/2023 14:41:57.5,4.25,
11/01/2023 14:31:57.5,4.25,
11/01/2023 14:21:57.5,4.25,
11/01/2023 14:11:57.5,4.25,
11/01/2023 14:01:57.5,4.25,
11/01/2023 13:51:57.5,4.25,
11/01/2023 13:41:57.5,4.25,
11/01/2023 13:31:57.5,4.25,
11/01/2023 13:21:57.5,4.25,
11/01/2023 13:11:57.5,4.25,
11/01/2023 13:01:57.5,4.25,
11/01/2023 12:51:57.5,4.25,
11/01/2023 12:41:57.5,4.25,
11/01/2023 12:31:57.5,4.25,
11/01/2023 12:21:57.5,4.25,
11/01/2023 12:11:57.5,4.25,
11/01/2023 12:01:57.5,4.25,
11/01/2023 12:01:33.9,4.65,
11/01/2023 11:51:33.9,4.65,
11/01/2023 11:41:33.9,4.65,
11/01/2023 11:31:33.9,4.65,
11/01/2023 11:21:33.9,4.65,
11/01/2023 11:11:33.9,4.65,
11/01/2023 11:01:33.9,4.65,
11/01/2023 10:51:33.9,4.65,
11/01/2023 10:41:33.9,4.65,
11/01/2023 10:31:33.9,4.65,
11/01/2023 10:21:33.9,4.65,
11/01/2023 10:11:33.9,4.65,
11/01/2023 10:01:33.9,4.65,
11/01/2023 09:51:33.9,4.65,
11/01/2023 09:41:33.9,4.65,
11/01/2023 09:31:33.9,4.65,
11/01/2023 09:21:33.9,4.65,
11/01/2023 09:11:33.9,4.65,
11/01/2023 09:01:33.9,4.65,
11/01/2023 08:51:33.9,4.65,
11/01/2023 08:41:33.9,4.65,
11/01/2023 08:31:33.9,4.65,
11/01/2023 08:21:33.9,4.65,
11/01/2023 08:11:33.9,4.65,
11/01/2023 08:01:33.9,4.65,
11/01/2023 07:51:33.9,4.65,
11/01/2023 07:41:33.9,4.65,
11/01/2023 07:31:33.9,4.65,
11/01/2023 07:21:33.9,4.65,
11/01/2023 07:11:33.9,4.65,
11/01/2023 07:01:33.9,4.65,
11/01/2023 06:51:33.9,4.65,
11/01/2023 06:41:33.9,4.65,
11/01/2023 06:31:33.9,4.65,
11/01/2023 06:21:33.9,4.65,
11/01/2023 06:11:33.9,4.65,
11/01/2023 06:01:33.9,4.65,
11/01/2023 05:51:33.9,4.65,
11/01/2023 05:41:33.9,4.65,
11/01/2023 05:31:33.9,4.65,
11/01/2023 05:21:33.9,4.65,
11/01/2023 05:11:33.9,4.65,
11/01/2023 05:01:33.9,4.65,
11/01/2023 04:51:33.9,4.65,
11/01/2023 04:41:33.9,4.65,
11/01/2023 04:31:33.9,4.65,
11/01/2023 04:21:33.9,4.65,
11/01/2023 04:11:33.9,4.65,
11/01/2023 04:01:33.9,4.65,
11/01/2023 03:51:33.9,4.65,
11/01/2023 03:41:33.9,4.65,
11/01/2023 03:31:33.9,4.65,
11/01/2023 03:21:33.9,4.65,
11/01/2023 03:11:33.9,4.65,
11/01/2023 03:01:33.9,4.65,
11/01/2023 02:51:33.9,4.65,
11/01/2023 02:41:33.9,4.65,
11/01/2023 02:31:33.9,4.65,
11/01/2023 02:21:33.9,4.65,
11/01/2023 02:11:33.9,4.65,
11/01/2023 02:01:33.9,4.65,
11/01/2023 01:51:33.9,4.65,
11/01/2023 01:41:33.9,4.65,
11/01/2023 01:31:33.9,4.65,
11/01/2023 01:21:33.9,4.65,
11/01/2023 01:11:33.9,4.65,
11/01/2023 01:01:33.9,4.65,
11/01/2023 00:51:33.9,4.65,
11/01/2023 00:41:33.9,4.65,
11/01/2023 00:31:33.9,4.65,
11/01/2023 00:21:33.9,4.65,
11/01/2023 00:11:33.9,4.65,
11/01/2023 00:01:33.9,4.65,
10/01/2023 23:51:33.9,4.65,
10/01/2023 23:41:33.9,4.65,
10/01/2023 23:31:33.9,4.65,
10/01/2023 23:21:33.9,4.65,
10/01/2023 23:11:33.9,4.65,
10/01/2023 23:01:33.9,4.65,
10/01/2023 22:51:33.9,4.65,
10/01/2023 22:41:33.9,4.65,
10/01/2023 22:31:33.9,4.65,
10/01/2023 22:21:33.9,4.65,
10/01/2023 22:11:33.9,4.65,
10/01/2023 22:01:33.9,4.65,
10/01/2023 21:51:33.9,4.65,
10/01/2023 21:41:33.9,4.65,
10/01/2023 21:31:33.9,4.65,
10/01/2023 21:21:33.9,4.65,
10/01/2023 21:11:33.9,4.65,
10/01/2023 21:01:33.9,4.65,
10/01/2023 20:51:33.9,4.65,
10/01/2023 20:41:33.9,4.65,
10/01/2023 20:31:33.9,4.65,
10/01/2023 20:21:33.9,4.65,
10/01/2023 20:11:33.9,4.65,
10/01/2023 20:01:33.9,4.65,
10/01/2023 19:51:33.9,4.65,
10/01/2023 19:41:33.9,4.65,
10/01/2023 19:31:33.9,4.65,
10/01/2023 19:21:33.9,4.65,
10/01/2023 19:11:33.9,4.65,
10/01/2023 19:01:33.9,4.65,
10/01/2023 18:51:33.9,4.65,
10/01/2023 18:41:33.9,4.65,
10/01/2023 18:31:33.9,4.65,
10/01/2023 18:21:33.9,4.65,
10/01/2023 18:11:33.9,4.65,
10/01/2023 18:01:33.9,4.65,
10/01/2023 17:51:33.9,4.65,
10/01/2023 17:41:33.9,4.65,
10/01/2023 17:31:33.9,4.65,
10/01/2023 17:21:33.9,4.65,
10/01/2023 17:11:33.9,4.65,
10/01/2023 17:01:33.9,4.65,
10/01/2023 16:51:33.9,4.65,
10/01/2023 16:41:33.9,4.65,
10/01/2023 16:34:14.4,4.55,
10/01/2023 16:24:14.4,4.55,
10/01/2023 16:14:14.4,4.55,
