Time,\\pi3\LR09144901L%P2O5,\\pi3\MKP_LAB449SO4%,\\pi3\MKP_DT_40450
07/10/2023 07:03:20.379,15.1,,
07/10/2023 07:01:53.724,,,1.2554
07/10/2023 06:59:58.968,,4.45,
07/10/2023 06:59:01.794,,,1.2554
07/10/2023 06:57:24.703,,,1.2532
07/10/2023 06:53:36.836,,,1.255
07/10/2023 06:53:20.379,15.1,,
07/10/2023 06:51:57.476,,,1.2573
07/10/2023 06:49:58.968,,4.45,
07/10/2023 06:48:04.553,,,1.2559
07/10/2023 06:46:25.479,,,1.2522
07/10/2023 06:43:20.379,15.1,,
07/10/2023 06:42:40.663,,,1.2548
07/10/2023 06:39:58.968,,4.45,
07/10/2023 06:34:14.540,,,1.2533
07/10/2023 06:33:20.379,15.1,,
07/10/2023 06:33:05.044,,,1.2506
07/10/2023 06:29:58.968,,4.45,
07/10/2023 06:28:53.621,,,1.2545
07/10/2023 06:23:54.565,14.95,,
07/10/2023 06:19:58.968,,4.45,
07/10/2023 06:19:58.014,,,1.2532
07/10/2023 06:18:32.186,,,1.2568
07/10/2023 06:13:54.565,14.95,,
07/10/2023 06:13:38.217,,,1.2555
07/10/2023 06:09:58.968,,4.45,
07/10/2023 06:09:23.993,,,1.2506
07/10/2023 06:03:54.565,14.95,,
07/10/2023 06:02:50.952,,,1.2586
07/10/2023 06:01:39.460,,,1.251
07/10/2023 05:59:58.968,,4.45,
07/10/2023 05:59:06.413,,,1
07/10/2023 05:58:06.084,,,1.2523
07/10/2023 05:53:54.565,14.95,,
07/10/2023 05:51:07.529,,,1.2577
07/10/2023 05:49:58.968,,4.45,
07/10/2023 05:47:39.360,,,1.2519
07/10/2023 05:46:31.985,,,1.2545
07/10/2023 05:43:54.565,14.95,,
07/10/2023 05:43:09.846,,,1.2517
07/10/2023 05:41:34.960,,,1.2562
07/10/2023 05:39:58.968,,4.45,
07/10/2023 05:38:43.336,,,1.2547
07/10/2023 05:33:54.565,14.95,,
07/10/2023 05:33:46.302,,,1.2544
07/10/2023 05:29:58.968,,4.45,
07/10/2023 05:27:25.753,,,1.257
07/10/2023 05:23:54.565,14.95,,
07/10/2023 05:23:06.326,,,1.2515
07/10/2023 05:22:04.106,,,1.252
07/10/2023 05:19:58.968,,4.45,
07/10/2023 05:19:58.547,,,1.253
07/10/2023 05:15:39.272,,,1.259
07/10/2023 05:13:54.565,14.95,,
07/10/2023 05:09:58.968,,4.45,
07/10/2023 05:08:58.165,,,1.2511
07/10/2023 05:07:35.511,,,1.2558
07/10/2023 05:03:54.565,14.95,,
07/10/2023 05:01:58.602,,,1.2573
07/10/2023 05:00:26.794,,,1.2559
07/10/2023 04:59:58.968,,4.45,
07/10/2023 04:53:54.565,14.95,,
07/10/2023 04:49:58.968,,4.45,
07/10/2023 04:48:52.284,,,1.2591
07/10/2023 04:45:50.370,,,1.2509
07/10/2023 04:44:47.943,,,1.2541
07/10/2023 04:43:54.565,14.95,,
07/10/2023 04:39:58.968,,4.45,
07/10/2023 04:37:52.001,,,1.2598
07/10/2023 04:35:55.450,,,1.2536
07/10/2023 04:33:54.565,14.95,,
07/10/2023 04:32:44.322,,,1.2522
07/10/2023 04:29:58.968,,4.45,
07/10/2023 04:29:03.623,,,1.258
07/10/2023 04:27:01.984,,,1.2552
07/10/2023 04:23:54.565,14.95,,
07/10/2023 04:23:17.060,,,1.2568
07/10/2023 04:22:10.542,,,1.2584
07/10/2023 04:19:58.968,,4.45,
07/10/2023 04:16:07.577,,,1.2576
07/10/2023 04:13:54.565,14.95,,
07/10/2023 04:09:58.968,,4.45,
07/10/2023 04:03:54.565,14.95,,
07/10/2023 04:03:32.190,,,1.2539
07/10/2023 04:02:15.428,,,1.2569
07/10/2023 03:59:58.968,,4.45,
07/10/2023 03:57:29.227,,,1.2544
07/10/2023 03:53:54.565,14.95,,
07/10/2023 03:52:45.964,,,1.2575
07/10/2023 03:49:58.968,,4.45,
07/10/2023 03:43:54.565,14.95,,
07/10/2023 03:42:49.097,,,1.2548
07/10/2023 03:40:38.178,14.82,,
07/10/2023 03:39:58.968,,4.45,
07/10/2023 03:30:38.178,14.82,,
07/10/2023 03:29:58.968,,4.45,
07/10/2023 03:22:48.064,,,1.258
07/10/2023 03:20:38.178,14.82,,
07/10/2023 03:19:58.968,,4.45,
07/10/2023 03:19:55.464,,,1.2517
07/10/2023 03:18:37.621,,,1.2515
07/10/2023 03:10:38.178,14.82,,
07/10/2023 03:09:58.968,,4.45,
07/10/2023 03:05:23.731,,,1.2573
07/10/2023 03:00:38.178,14.82,,
07/10/2023 02:59:58.968,,4.45,
07/10/2023 02:56:50.209,,,1.2551
07/10/2023 02:54:17.988,,,1.2544
07/10/2023 02:50:38.178,14.82,,
07/10/2023 02:49:58.968,,4.45,
07/10/2023 02:40:38.178,14.82,,
07/10/2023 02:39:58.968,,4.45,
07/10/2023 02:30:38.178,14.82,,
07/10/2023 02:29:58.968,,4.45,
07/10/2023 02:21:34.834,,,1.2474
07/10/2023 02:20:38.178,14.82,,
07/10/2023 02:20:05.857,,,1.2439
07/10/2023 02:19:58.968,,4.45,
07/10/2023 02:10:38.178,14.82,,
07/10/2023 02:09:58.968,,4.45,
07/10/2023 02:07:30.466,,,1.2451
07/10/2023 02:01:21.607,,,1.256
07/10/2023 02:00:38.178,14.82,,
07/10/2023 01:59:58.968,,4.45,
07/10/2023 01:50:38.178,14.82,,
07/10/2023 01:49:58.968,,4.45,
07/10/2023 01:47:01.605,,,1.2578
07/10/2023 01:45:05.980,,,1.253
07/10/2023 01:43:44.178,,,1.0595
07/10/2023 01:41:38.464,,,1.2546
07/10/2023 01:40:38.178,14.82,,
07/10/2023 01:39:58.968,,4.45,
07/10/2023 01:35:01.697,,,1.2563
07/10/2023 01:31:27.064,,,1.2563
07/10/2023 01:31:13.756,14.9,,
07/10/2023 01:29:58.968,,4.45,
07/10/2023 01:21:13.756,14.9,,
07/10/2023 01:19:58.968,,4.45,
07/10/2023 01:19:50.081,,,1.2589
07/10/2023 01:14:17.886,,,1.2575
07/10/2023 01:11:13.756,14.9,,
07/10/2023 01:09:58.968,,4.45,
07/10/2023 01:08:33.494,,,1.2541
07/10/2023 01:05:24.207,,,1.2573
07/10/2023 01:01:13.756,14.9,,
07/10/2023 00:59:58.968,,4.45,
07/10/2023 00:57:27.722,,,1.2524
07/10/2023 00:56:27.451,,,1.0391
07/10/2023 00:54:58.608,,,1.2538
07/10/2023 00:53:04.065,,,1.041
07/10/2023 00:51:23.912,,,1.2475
07/10/2023 00:51:13.756,14.9,,
07/10/2023 00:50:22.606,,,1.2592
07/10/2023 00:49:58.968,,4.45,
07/10/2023 00:42:51.924,,,1.2548
07/10/2023 00:41:13.756,14.9,,
07/10/2023 00:40:57.382,,,1.2567
07/10/2023 00:39:58.968,,4.45,
07/10/2023 00:31:33.055,,,1.012
