Name,\\pi3\MKP_DT_40450
Data Type,Float 32
Number of Values,24505
Time,Value,Value Attributes
13-Mar-2023 10:17:51.76099,1.30
13-Mar-2023 10:16:37.44678,1.30
13-Mar-2023 10:02:21.64076,1.29
13-Mar-2023 09:58:26.24126,1.28
13-Mar-2023 09:56:34.25439,1.08
13-Mar-2023 09:54:35.9391,1.08
13-Mar-2023 09:53:25.62918,1.23
13-Mar-2023 09:52:19.55054,1.23
13-Mar-2023 09:51:12.42683,1.23
13-Mar-2023 09:50:03.23499,1.26
13-Mar-2023 09:48:39.90814,1.26
13-Mar-2023 09:47:39.80193,1.24
13-Mar-2023 09:46:16.28307,1.24
13-Mar-2023 09:44:37.47614,1.26
13-Mar-2023 09:43:35.38177,1.28
13-Mar-2023 09:42:20.00856,1.27
13-Mar-2023 09:41:13.70885,1.26
13-Mar-2023 09:40:09.60236,1.22
13-Mar-2023 09:39:07.505,1.10
13-Mar-2023 09:38:02.35643,1.10
13-Mar-2023 09:36:57.29286,1.02
13-Mar-2023 09:32:02.08417,1.28
13-Mar-2023 09:26:01.67989,1.24
13-Mar-2023 09:24:59.37752,1.28
13-Mar-2023 09:13:25.26186,1.28
13-Mar-2023 08:44:41.91364,1.28
13-Mar-2023 08:28:16.78084,1.28
13-Mar-2023 08:16:44.37398,1.28
13-Mar-2023 07:56:10.70261,1.28
13-Mar-2023 07:51:03.02003,1.28
13-Mar-2023 07:40:01.55867,1.28
13-Mar-2023 06:41:49.68681,1.28
13-Mar-2023 06:34:27.53781,1.28
13-Mar-2023 06:18:26.2944,1.28
13-Mar-2023 06:10:17.15311,1.28
13-Mar-2023 06:01:23.29367,1.28
13-Mar-2023 05:57:59.35936,1.28
13-Mar-2023 05:48:21.81787,1.28
13-Mar-2023 05:44:41.56342,1.28
13-Mar-2023 05:36:30.37398,1.28
13-Mar-2023 05:33:06.70169,1.28
13-Mar-2023 05:25:36.0461,1.28
13-Mar-2023 05:22:00.13896,1.28
13-Mar-2023 05:04:25.381,1.28
13-Mar-2023 04:52:32.03697,1.28
13-Mar-2023 04:40:44.46536,1.28
13-Mar-2023 04:28:54.15756,1.28
13-Mar-2023 04:24:45.56313,1.28
13-Mar-2023 04:17:53.26921,1.28
13-Mar-2023 04:10:55.27391,1.28
13-Mar-2023 03:46:19.52742,1.28
13-Mar-2023 03:34:55.92249,1.27
13-Mar-2023 03:26:52.32758,1.28
13-Mar-2023 03:21:02.14803,1.28
13-Mar-2023 03:10:35.19106,1.27
13-Mar-2023 03:02:05.3343,1.28
13-Mar-2023 02:57:45.74211,1.28
13-Mar-2023 02:50:09.52612,1.27
13-Mar-2023 02:37:08.57338,1.27
13-Mar-2023 02:33:31.30315,1.28
13-Mar-2023 01:53:01.80084,1.27
13-Mar-2023 01:44:56.74985,1.27
13-Mar-2023 01:22:54.22409,1.27
13-Mar-2023 00:05:56.54124,1.27
12-Mar-2023 22:06:40.83792,1.27
12-Mar-2023 21:47:41.8494,1.27
12-Mar-2023 21:20:48.39864,1.27
