Name,\\pi3\MKP_DT_40450,
Data Type,Float 32,
Number of Values,25401,
Time,Value,Value Attributes
10/12/2022 23:19:19.58,1.2886,
10/12/2022 23:08:48.51,1.2903,
10/12/2022 23:07:48.38,1.2821,
10/12/2022 23:05:39.88,1.2888,
10/12/2022 22:59:42.09,1.2905,
10/12/2022 22:58:15.40,1.281,
10/12/2022 22:55:53.74,1.2862,
10/12/2022 22:50:48.80,1.2908,
10/12/2022 22:49:48.53,1.2846,
10/12/2022 22:48:04.48,1.2797,
10/12/2022 22:46:56.16,1.2894,
10/12/2022 22:40:40.73,1.2874,
10/12/2022 22:38:44.49,1.2797,
10/12/2022 22:37:24.86,1.288,
10/12/2022 22:33:46.63,1.2912,
10/12/2022 22:31:13.55,1.2846,
10/12/2022 22:29:26.44,1.2787,
10/12/2022 22:28:25.32,1.2869,
10/12/2022 22:24:37.10,1.2913,
10/12/2022 22:22:01.28,1.2832,
10/12/2022 22:19:42.72,1.2864,
10/12/2022 22:17:27.13,1.2913,
10/12/2022 22:11:53.93,1.2815,
10/12/2022 22:10:22.27,1.2767,
10/12/2022 22:09:03.78,1.286,
10/12/2022 22:07:03.50,1.291,
10/12/2022 22:03:04.08,1.2848,
10/12/2022 22:00:38.42,1.2883,
10/12/2022 21:51:29.07,1.2881,
10/12/2022 21:43:54.66,1.2897,
10/12/2022 21:42:23.97,1.2834,
10/12/2022 21:40:06.42,1.2849,
10/12/2022 21:36:39.44,1.2897,
10/12/2022 21:33:56.41,1.282,
10/12/2022 21:31:57.13,1.2836,
10/12/2022 21:30:26.52,1.2898,
10/12/2022 21:25:02.45,1.2817,
10/12/2022 21:22:43.87,1.2852,
10/12/2022 21:18:09.50,1.2886,
10/12/2022 21:16:32.79,1.2789,
10/12/2022 21:14:01.90,1.2855,
10/12/2022 21:08:37.87,1.2872,
10/12/2022 21:06:55.93,1.2792,
10/12/2022 21:05:31.32,1.2854,
10/12/2022 20:58:59.01,1.287,
10/12/2022 20:57:50.70,1.2773,
10/12/2022 20:55:25.00,1.286,
10/12/2022 20:49:02.77,1.2845,
10/12/2022 20:47:28.06,1.2781,
10/12/2022 20:45:46.22,1.286,
10/12/2022 20:34:43.85,1.2875,
10/12/2022 20:33:17.27,1.2778,
10/12/2022 20:31:04.84,1.2828,
10/12/2022 20:26:31.87,1.2874,
10/12/2022 20:24:47.98,1.2777,
10/12/2022 20:22:11.06,1.2843,
10/12/2022 20:18:55.45,1.2876,
10/12/2022 20:16:52.08,1.2798,
10/12/2022 20:14:02.89,1.2848,
10/12/2022 20:07:34.49,1.2813,
10/12/2022 20:05:57.66,1.2763,
10/12/2022 20:04:24.95,1.2844,
10/12/2022 19:56:31.17,1.2793,
10/12/2022 19:54:37.09,1.2727,
10/12/2022 19:52:58.30,1.2836,
10/12/2022 19:48:25.19,1.2868,
10/12/2022 19:47:15.99,1.0507,
10/12/2022 19:44:06.57,1.2815,
10/12/2022 19:39:46.71,1.286,
10/12/2022 19:37:51.62,1.2798,
10/12/2022 19:35:15.71,1.2876,
10/12/2022 19:32:27.52,1.0109,
10/12/2022 19:29:25.24,1.2786,
10/12/2022 19:27:43.21,1.2743,
10/12/2022 19:26:25.73,1.2858,
10/12/2022 19:20:21.75,1.2856,
10/12/2022 19:16:22.28,1.2808,
10/12/2022 19:14:05.79,1.2744,
10/12/2022 19:12:46.30,1.286,
10/12/2022 19:06:49.54,1.2777,
10/12/2022 19:04:50.35,1.2713,
10/12/2022 19:03:29.83,1.2842,
10/12/2022 18:59:05.74,1.2874,
10/12/2022 18:57:45.14,1.2762,
10/12/2022 18:55:32.73,1.2832,
10/12/2022 18:51:31.30,1.2878,
10/12/2022 18:49:38.29,1.2815,
10/12/2022 18:47:25.79,1.2769,
10/12/2022 18:46:25.70,1.2851,
10/12/2022 18:41:10.89,1.2884,
10/12/2022 18:40:04.65,1.2789,
10/12/2022 18:39:04.52,1.0519,
10/12/2022 18:36:01.12,1.2904,
10/12/2022 18:31:32.16,1.2886,
10/12/2022 18:30:17.80,1.001,
10/12/2022 18:27:16.41,1.2887,
10/12/2022 18:24:09.92,1.2885,
10/12/2022 18:22:56.59,1.2823,
10/12/2022 18:21:37.12,1.276,
10/12/2022 18:19:51.16,1.2839,
10/12/2022 18:13:49.42,1.2884,
10/12/2022 18:12:24.71,1.2805,
10/12/2022 18:10:21.37,1.2757,
10/12/2022 18:09:07.99,1.2889,
10/12/2022 18:03:31.87,1.2824,
10/12/2022 18:02:06.28,1.2775,
10/12/2022 18:01:06.16,1.0587,
10/12/2022 17:57:37.27,1.2902,
10/12/2022 17:54:33.82,1.2793,
10/12/2022 17:52:40.78,1.2745,
10/12/2022 17:51:06.05,1.2891,
10/12/2022 17:45:07.59,1.2859,
10/12/2022 17:43:11.47,1.2796,
10/12/2022 17:41:35.80,1.2893,
10/12/2022 17:38:23.34,1.2599,
10/12/2022 17:37:20.20,1.2904,
10/12/2022 17:35:44.50,1.284,
10/12/2022 17:34:13.85,1.2777,
10/12/2022 17:32:40.16,1.2858,
10/12/2022 17:28:46.02,1.2906,
10/12/2022 17:26:36.71,1.2827,
10/12/2022 17:24:44.72,1.278,
